Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
OXXO TERRAZE 183,BOGOTA,3807396,2024/04/10,ACTIVA,2025/03/20,2025,4.7602912,-74.0299057,"Cl. 183 #8A-71, Bogotá, Colombia"
OXXO TERRAZINO SUR,ABURRA SUR,278921,2024/11/14,ACTIVA,2025/03/27,2025,6.1603926,-75.6017686,"Cra. 43A #49D sur-72, Zona 7, Envigado, Antioquia, Colombia"
OXXO TERTULIA,CALI,1235669,2024/10/24,ACTIVA,2025/03/27,2025,3.450998,-76.5462787,"Avenida 1 Oe #5-291, Normandia Sebastian de Belalcazar, Cali, Valle del Cauca, Colombia"
OXXO TEUSAQUILLO 27-25,BOGOTA,3709869,2023/07/26,ACTIVA,2025/03/20,2025,4.6233471,-74.0765807,"Cl. 27a #24-62, Bogotá, Colombia"
OXXO TIBANA OPORTO,BOGOTA,3756477,2023/11/27,ACTIVA,2025/03/20,2025,4.6095013,-74.1083517,"Bogotá, Colombia"
OXXO TIERRA GRATA,BOGOTA,3998842,2025/08/12,ACTIVA,2025/08/12,2025,4.7222134,-74.06681460000001,"Avenida 58 #131a-46, Bogotá, Colombia"
OXXO TIME 122,BOGOTA,3970965,2025/06/05,ACTIVA,2025/06/05,2025,4.7009405,-74.0432168,"Cra. 15 #122-07, Bogotá, Colombia"
OXXO TOBERIN CENTRO,BOGOTA,2040050,2010/10/29,ACTIVA,2025/03/20,2025,4.7467718,-74.0442462,"Cl. 166 #20-72, Usaquén, Bogotá, Cundinamarca, Colombia"
OXXO TORRE 108,BOGOTA,3911434,2025/01/27,ACTIVA,2025/01/27,2025,4.6959214,-74.05703849999999,"Cra. 45 #108, Bogotá, Colombia"
OXXO TORRE AMERICAS,BOGOTA,3124495,2019/06/10,ACTIVA,2025/03/20,2025,4.6285405,-74.112224,"Cra. 56 #9-9, Bogotá, Colombia"
OXXO TORRE ATLANTICA,BARRANQUILLA,887179,2024/03/06,ACTIVA,2025/03/27,2025,11.0059043,-74.81199289999999,"080016, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
OXXO TORRE CIEN,BOGOTA,3182980,2019/10/23,ACTIVA,2025/03/20,2025,4.683078099999999,-74.04504210000002,"Bogotá, Colombia"
OXXO TORRE SAPIENCIA,BOGOTA,3798297,2024/03/19,ACTIVA,2025/03/20,2025,4.704775199999999,-74.05371579999999,"Bogotá, Colombia"
OXXO TORRE VIVA 26,BOGOTA,3094559,2019/04/03,ACTIVA,2025/03/20,2025,4.6735837,-74.11711389999999,"Bogotá, Colombia"
OXXO TORRES DE SION,TUNJA,220210,2024/04/02,ACTIVA,2025/03/27,2025,5.5496167,-73.358295,"Cl. 38 #12-5, Tunja, Boyacá, Colombia"
OXXO TORRES DE TIMIZA,BOGOTA,3655758,2023/03/22,ACTIVA,2025/03/20,2025,4.6108554,-74.1582387,"Cl. 42 Sur #74-30, Bogotá, Colombia"
OXXO TORRES DEL BOSQUE,BUCARAMANGA,9000635055,2022/12/09,ACTIVA,2025/03/25,2025,7.0757847,-73.1086392,"Tv. 154 #150-26, Floridablanca, Santander, Colombia"
OXXO TOSCANA,PEREIRA,18213842,2023/11/27,ACTIVA,2025/03/20,2025,4.8044604,-75.7562238,"Villa Olímpica #94 Lote 5, Pereira, Risaralda, Colombia"
OXXO TRADE CENTER,BOGOTA,3179771,2019/10/15,ACTIVA,2025/03/20,2025,4.680756100000001,-74.0433371,"Edifico Pixel 98, Cl. 98 #10 2, Bogotá, Colombia"
OXXO TRANSMIHEROES,BOGOTA,3542627,2022/06/13,ACTIVA,2025/03/20,2025,4.667733999999999,-74.05957289999999,"Av Cl 80 #19-39, Bogotá, Colombia"
OXXO TRES ESQUINAS,BOGOTA,3654712,2023/03/17,ACTIVA,2025/03/20,2025,4.8786619,-74.0382271,"Chía, Cundinamarca, Colombia"
OXXO TRIBUNAS,PEREIRA,18204393,2023/01/04,ACTIVA,2025/03/20,2025,4.7784767,-75.69563180000002,"Huertas, Pereira, Risaralda, Colombia"
OXXO TRINIDAD GALAN,BOGOTA,3828575,2024/06/04,ACTIVA,2025/03/20,2025,4.619077799999999,-74.119993,"Cra. 56 #2B-68, Puente Aranda, Bogotá, Colombia"
OXXO TRIPOLI,PEREIRA,18218291,2024/05/03,ACTIVA,2025/03/20,2025,4.8024434,-75.6856835,"Edificio Tripoli, Cl. 8 #19-12 Local 6, Pereira, Risaralda, Colombia"
OXXO TRIVENZA,BUCARAMANGA,9000620177,2022/05/18,ACTIVA,2025/03/25,2025,7.0819119,-73.115104,"Cl. 111 #22 B - 34, Floridablanca, Bucaramanga, Santander, Colombia"
OXXO U 17,PEREIRA,18213162,2023/10/26,ACTIVA,2025/03/20,2025,4.7974042,-75.6938613,"Cl. 17 #26-93 a 26-1, Pereira, Risaralda, Colombia"
OXXO UAN SUR,BOGOTA,3146160,2019/07/31,ACTIVA,2025/03/20,2025,4.579439499999999,-74.1000457,"Cra. 13 #22 Sur-56 a 22 Sur-2, Bogotá, Colombia"
OXXO UNI 32,BOGOTA,3992671,2025/07/28,ACTIVA,2025/07/28,2025,4.630375,-74.0827719,"Cra. 33 #17, Bogotá, Colombia"
OXXO UNILAGO,BOGOTA,3613010,2022/12/02,ACTIVA,2025/03/20,2025,4.6658748,-74.05810509999999,"Cra, 16 #79-20, Bogotá, Colombia"
OXXO UNIMINUTO,BOGOTA,3802071,2024/03/27,ACTIVA,2025/03/20,2025,4.6978406,-74.0903682,"Cra. 73a #81-37, Bogotá, Colombia"
OXXO UNIQUE,BOGOTA,3938155,2025/03/19,ACTIVA,2025/03/19,2025,4.6858426,-74.0472027,"Ak 9 #100-77, Usaquén, Bogotá, Cundinamarca, Colombia"
OXXO UNIVERSIDAD,BUCARAMANGA,9000446489,2019/11/14,INACTIVA POR CIERRE DEL ESTABLECIMIENTO,2022/03/30,2022,7.1384881,-73.1204685,"Ak 27 #9-14, Bucaramanga, Santander, Colombia"
OXXO UNIVERSITARIO,BOGOTA,2900636,2017/12/22,ACTIVA,2025/03/20,2025,4.6024528,-74.0686901,"Cra. 3 #18-19, Bogotá, Colombia"
OXXO UNIVERSITARIO LEON XII,MEDELLIN PARA ANTIOQUIA,80217402,2024/08/28,ACTIVA,2025/03/27,2025,6.2660044,-75.5649801,"a 67a-122, Cra. 51D #67a-2, Aranjuez, Medellín, Antioquia, Colombia"
OXXO URBAN 165,BOGOTA,3880521,2024/10/11,ACTIVA,2025/03/20,2025,4.7464549,-74.0483248,"Cl. 165 #45-46, Bogotá, Colombia"
OXXO URBAN DISTRICT,BOGOTA,3900715,2024/12/26,ACTIVA,2025/03/20,2025,4.6635304,-74.0635595,"Cl. 74 #20C-04, Bogotá, Colombia"
OXXO USAQUEN PLAZA,BOGOTA,3994549,2025/07/31,ACTIVA,2025/07/31,2025,4.7413192,-74.0457842,"Cl. 161 #21 - 09, Bogotá, Colombia"
OXXO VAHLER,DOSQUEBRADAS,66093,2022/08/18,ACTIVA,2025/03/27,2025,4.8210365,-75.683028,"Villa Carina, Cra. 7 #Lote 7, Dosquebradas, Risaralda, Colombia"
OXXO VALENCIA 27,BUCARAMANGA,9000664660,2024/02/02,ACTIVA,2025/03/25,2025,7.113494999999999,-73.1146302,"Av. González Valencia #52-13, Sotomayor, Bucaramanga, Santander, Colombia"
OXXO VALENCIANA,BUCARAMANGA,9000655542,2023/08/31,ACTIVA,2025/03/25,2025,7.110493399999999,-73.1115695,"Sotomayor, Bucaramanga, Santander, Colombia"
OXXO VALPARAISO 127,BOGOTA,3998844,2025/08/12,ACTIVA,2025/08/12,2025,4.7095169,-74.0624507,"Cl 127 A #53A-45, Bogotá, Colombia"
OXXO VARGAS AV 68,BOGOTA,3554902,2022/07/13,ACTIVA,2025/03/20,2025,4.674977999999999,-74.0870647,"Av. 68 #67c-80, Bogotá, Colombia"
OXXO VARSOVIA,IBAGUE,372363,2024/06/07,ACTIVA,2025/03/27,2025,4.4302343,-75.1972378,"Cra 5 Sur, Ibagué, Tolima, Colombia"
OXXO VENECIA,BOGOTA,2498426,2014/09/15,CANCELADA,2016/03/31,2016,4.5932221,-74.1413761,"Cra. 54 #47 Sur, Bogotá, Colombia"
OXXO VENECIA KRA 54,BOGOTA,3723830,2023/08/30,ACTIVA,2025/03/20,2025,4.5932221,-74.1413761,"Cra. 54 #47 Sur, Bogotá, Colombia"
OXXO VERANERA,ARMENIA,284617,2024/12/26,ACTIVA,2025/03/27,2025,4.5314228,-75.6945202,"Cl. 30 #15, Armenia, Quindío, Colombia"
OXXO VERSALLES,BOGOTA,3596646,2022/10/15,ACTIVA,2025/03/20,2025,4.6855448,-74.1456815,"Cra. 111a #22i-90, Bogotá, Colombia"
OXXO VIA FERROCARRIL,BARRANCABERMEJA,139433,2024/03/20,ACTIVA,2025/03/27,2025,7.061210099999999,-73.85684359999999,"Cl. 52 #2052, Barrancabermeja, Santander, Colombia"
OXXO VIEJO PRADO,BARRANQUILLA,903272,2024/11/08,ACTIVA,2025/03/27,2025,10.9928984,-74.7935047,"Cra. 53 #60-86, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
OXXO VILLA COUNTRY,BARRANQUILLA,895123,2024/07/03,ACTIVA,2025/03/27,2025,11.0067456,-74.80292659999999,"Cra. 59b #77-151, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
OXXO VILLA DE LOS ALPES,FACATATIVA,180711,2023/10/31,CANCELADA,2024/03/26,2024,4.7557689,-74.0501851,"Cl. 174 #51-04, Bogotá, Colombia"
OXXO VILLA DEL RIO,BOGOTA,3757239,2023/11/29,ACTIVA,2025/03/20,2025,4.599841,-74.16178699999999,"Ak. 71b #22, Bogotá, Colombia"
OXXO VILLA DIANA,FACATATIVA,182240,2024/01/26,ACTIVA,2025/03/27,2025,4.721583,-74.2159396,"Cl. 13 #20a-47 a 20a-1, Funza, Cundinamarca, Colombia"
OXXO VILLA LUZ 77,BOGOTA,3589791,2022/09/29,ACTIVA,2025/03/20,2025,4.6829577,-74.1060761,"Cra. 77A #64h-4, Bogotá, Colombia"
OXXO VILLA OLIMPICA,PEREIRA,18219090,2024/06/04,ACTIVA,2025/03/20,2025,4.8044604,-75.7562238,"Villa Olímpica #94 Lote 5, Pereira, Risaralda, Colombia"
OXXO VILLA PRADO,BOGOTA,3444123,2021/10/19,ACTIVA,2025/03/20,2025,4.7554302,-74.0543775,"Cl. 173, Bogotá, Colombia"
OXXO VILLA RINCON,BOGOTA,3789140,2024/02/28,ACTIVA,2025/03/20,2025,4.725896,-74.09610740000001,"Cl. 128c #95b40, Bogotá, Colombia"
OXXO VILLA VERDE,PEREIRA,18222681,2024/10/21,ACTIVA,2025/03/20,2025,4.792527499999999,-75.71118640000002,"Cra 36 B #33-2, Pereira, Risaralda, Colombia"
OXXO VILLAMARIA,BOGOTA,3094575,2019/04/03,ACTIVA,2025/03/20,2025,4.7429287,-74.10244229999999,"Cl. 139 #110b-29, Bogotá, Colombia"
OXXO VILLAS 95 15,BOGOTA,3895015,2024/11/26,ACTIVA,2025/03/20,2025,4.680882299999999,-74.0501127,"C/MARCA, Cl. 95 #15-09, Chapinero, Bogotá, Cundinamarca, Colombia"
OXXO VIPASA,CALI,1197422,2023/08/31,CANCELADA,2024/03/22,2024,3.480173,-76.5163311,"Av. 3 Nte. #45 Norte-113, Vipasa, Cali, Valle del Cauca, Colombia"
OXXO VIRREY 90,BOGOTA,3870595,2024/09/16,ACTIVA,2025/03/20,2025,4.6760394,-74.0564457,"Cl. 90 #19-29, Chapinero, Bogotá, Cundinamarca, Colombia"
OXXO VISCAYA,BOGOTA,3601234,2022/10/27,ACTIVA,2025/03/20,2025,4.687082999999999,-74.0731304,"Cra. 67a #95-63, Bogotá, Colombia"
OXXO VITERRA,BUCARAMANGA,9000620903,2022/05/25,ACTIVA,2025/03/25,2025,7.121321699999999,-73.1213437,"Cra 22 #34-02, Antonia Santos, Bucaramanga, Santander, Colombia"
OXXO YORK,MEDELLIN PARA ANTIOQUIA,80851602,2024/12/18,ACTIVA,2025/03/27,2025,6.186996799999999,-75.5782396,"Cl. 17 Sur &, Cra. 43A, El Poblado, Medellín, Antioquia, Colombia"
OXXO ZABAN,ABURRA SUR,276550,2024/08/29,ACTIVA,2025/03/27,2025,4.7095169,-74.0624507,"Cl 127 A #53A-45, Bogotá, Colombia"
OXXO ZIPAQUIRA ESTACION DEL TREN,BOGOTA,3723821,2023/08/30,ACTIVA,2025/03/20,2025,5.021685199999999,-74.0016622,"Cl. 4 #10-98, Zipaquirá, Cundinamarca, Colombia"
OXXO ZONA 41,BOGOTA,2751157,2016/11/02,ACTIVA,2025/03/20,2025,4.6291492,-74.0669667,"a 41-99 Carrera 13 #41-1, Bogotá, Colombia"
OXXO ZONA FRANCA,BOGOTA,3035204,2018/11/08,ACTIVA,2025/03/20,2025,4.6755552,-74.1548308,"Cra. 106 #15a-25, Bogotá, Colombia"
OXXO ZONA IN,BOGOTA,3230551,2020/03/06,ACTIVA,2025/03/20,2025,4.7274211,-74.06330369999999,"Ac. 138 #57 -31, Bogotá, Colombia"
OXXO ZOOLOGICO,BARRANQUILLA,902242,2024/10/24,ACTIVA,2025/03/27,2025,10.9457409,-74.7842268,"a, Cl. 30 #4b-294 4b-402, Barranquilla, Atlántico, Colombia"
