Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado
TIENDA D1 SINC LA PALMA,SINCELEJO,118183,2020/11/13,ACTIVA,2025/03/20,2025
TIENDA D1 SINCELEJO CALLE DE LAS FLORES,SINCELEJO,112572,2019/11/28,CANCELADA,2023/03/21,2023
TIENDA D1 SINCELEJO ALFONSO LOPEZ,SINCELEJO,116230,2020/08/04,ACTIVA,2025/03/20,2025
TIENDA D1 SINCELEJO AV SANTANDER,SINCELEJO,112338,2019/11/07,CANCELADA,2020/06/30,2020
TIENDA D1 SINCELEJO BOTERO,SINCELEJO,112782,2019/12/26,CANCELADA,2024/03/20,2024
TIENDA D1 SINCELEJO EL PROGRESO,SINCELEJO,114599,2020/05/08,ACTIVA,2025/03/20,2025
TIENDA D1 SINCELEJO FLOR DEL BONCHE,SINCELEJO,110786,2019/07/26,ACTIVA,2025/03/20,2025
TIENDA D1 SINCELEJO LAS AMERICAS,SINCELEJO,124954,2021/12/20,ACTIVA,2025/03/20,2025
TIENDA D1 SINCELEJO LAS MARGARITAS,SINCELEJO,111806,2019/09/27,ACTIVA,2025/03/20,2025
TIENDA D1 SINCELEJO LUIS CARLOS GALAN,SINCELEJO,110785,2019/07/26,ACTIVA,2025/03/20,2025
TIENDA D1 SINCELEJO PIONEROS,SINCELEJO,112343,2019/11/07,CANCELADA,2024/03/20,2024
TIENDA D1 SINCELEJO TERMINAL,SINCELEJO,122224,2021/07/21,CANCELADA,2024/03/20,2024
TIENDA D1 SINCELEJO TIERRA GRATA,SINCELEJO,112781,2019/12/26,CANCELADA,2023/03/21,2023
TIENDA D1 SOACHA ARIZONA,BOGOTA,3514294,2022/04/12,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA BALCONES,BOGOTA,3585345,2022/09/20,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA CAZUCA,BOGOTA,3304953,2020/11/03,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA CC UNISUR,BOGOTA,3812550,2024/04/23,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA CENTRO,BOGOTA,2870245,2017/09/19,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA COMPARTIR,BOGOTA,2723556,2016/08/22,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA CRA 7,BOGOTA,3759534,2023/12/11,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA ESPERANZA,BOGOTA,3456120,2021/11/19,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA HOGARES,BOGOTA,3646465,2023/03/02,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA INDUMIL,BOGOTA,3884929,2024/10/24,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA JUAN PABLO II,BOGOTA,3273851,2020/08/20,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA LEON XII,BOGOTA,2702708,2016/06/27,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA LIBERTADORES,BOGOTA,3192712,2019/11/22,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA PASEO REAL,BOGOTA,3494735,2022/03/07,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA PUENTE TERREROS,BOGOTA,2755481,2016/11/18,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA SAN MATEO,BOGOTA,2895526,2017/11/28,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA SATELITE,BOGOTA,2837510,2017/07/07,ACTIVA,2025/03/07,2025
TIENDA D1 SOACHA TIERRA ALTA,BOGOTA,3675824,2023/05/04,ACTIVA,2025/03/07,2025
TIENDA D1 SOATÁ,DUITAMA,101312,2020/12/04,ACTIVA,2025/03/04,2025
TIENDA D1 SOCHA,DUITAMA,105849,2021/11/11,ACTIVA,2025/03/04,2025
TIENDA D1 SOCIEGO CR 10,BOGOTA,3339294,2021/02/18,ACTIVA,2025/03/07,2025
TIENDA D1 SOCORRO PLAZA,BUCARAMANGA,9000418650,2018/12/06,ACTIVA,2025/03/21,2025
TIENDA D1 SOGAMOSO CALLE 11,SOGAMOSO,75645,2018/08/08,ACTIVA,2025/03/04,2025
TIENDA D1 SOGAMOSO CENTRO,SOGAMOSO,74711,2018/05/02,ACTIVA,2025/03/04,2025
TIENDA D1 SOGAMOSO CHAPINERO,SOGAMOSO,73193,2017/12/04,ACTIVA,2025/03/04,2025
TIENDA D1 SOGAMOSO EL CORTEZ,SOGAMOSO,99200,2024/12/10,ACTIVA,2025/03/04,2025
TIENDA D1 SOGAMOSO EL LAGUITO,SOGAMOSO,78061,2019/03/13,ACTIVA,2025/03/04,2025
TIENDA D1 SOGAMOSO MAGDALENA,SOGAMOSO,93411,2023/04/13,ACTIVA,2025/03/04,2025
TIENDA D1 SOGAMOSO PLAZA 6 DE SEPTIEMBRE,SOGAMOSO,83511,2020/08/10,ACTIVA,2025/03/04,2025
TIENDA D1 SOGAMOSO SANTA CATALINA,SOGAMOSO,83512,2020/08/10,ACTIVA,2025/03/04,2025
TIENDA D1 SOGAMOSO UNIVERSIDAD,SOGAMOSO,83357,2020/07/27,ACTIVA,2025/03/04,2025
TIENDA D1 SOGAMOSO UPTC,SOGAMOSO,79075,2019/05/31,ACTIVA,2025/03/04,2025
TIENDA D1 SOLEDAD AV CIRCUNVALAR,BARRANQUILLA,897165,2024/08/02,ACTIVA,2025/03/20,2025
TIENDA D1 SOLEDAD CALLE 18,BARRANQUILLA,887206,2024/03/06,ACTIVA,2025/03/20,2025
TIENDA D1 SOLEDAD CENTRO,BARRANQUILLA,755993,2020/02/07,ACTIVA,2025/03/20,2025
TIENDA D1 SOLEDAD EL TRIUNFO,BARRANQUILLA,794083,2021/06/22,ACTIVA,2025/03/20,2025
TIENDA D1 SOLEDAD HIPODROMO,BARRANQUILLA,784629,2021/03/08,CANCELADA,2021/03/08,2021
TIENDA D1 SOLEDAD HIPODROMO,BARRANQUILLA,835464,2022/04/07,CANCELADA,2023/03/24,2023
TIENDA D1 SOLEDAD LA CENTRAL,BARRANQUILLA,759957,2020/05/11,ACTIVA,2025/03/20,2025
TIENDA D1 SOLEDAD LA ILUSION,BARRANQUILLA,880545,2023/11/10,ACTIVA,2025/03/20,2025
TIENDA D1 SOLEDAD LAS TORRES,BARRANQUILLA,847615,2022/08/23,ACTIVA,2025/03/20,2025
TIENDA D1 SOLEDAD LOS ALMENDROS,BARRANQUILLA,751931,2019/12/16,ACTIVA,2025/03/20,2025
TIENDA D1 SOLEDAD LOS CUSULES,BARRANQUILLA,874131,2023/08/01,CANCELADA,2023/08/01,2023
TIENDA D1 SOLEDAD LOS CUSULES,BARRANQUILLA,902017,2024/10/15,ACTIVA,2025/03/20,2025
TIENDA D1 SOLEDAD MANANTIAL,BARRANQUILLA,750641,2019/11/26,ACTIVA,2025/03/20,2025
