Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado
ARA 999 RIVERA CENTRO,HUILA,418694,2025/08/01,ACTIVA,2025/08/01,2025
BODEGA DEL CANASTO ARAUCA MERCADO,ARAUCA,40145,2023/11/22,ACTIVA,2025/03/21,2025
BODEGA DEL CANASTO BUCARAMANGA LA PLACITA SAN FRANCISCO,BUCARAMANGA,9000446918,2019/11/25,ACTIVA,2025/03/21,2025
BODEGA DEL CANASTO PARAGUACHON TRONCAL DEL CARIBE,LA GUAJIRA,174323,2022/11/09,ACTIVA,2025/03/21,2025
TI4ENDA ARA 1650 BOGOTÁ SUBA PORTAL NORTE,BOGOTA,3968334,2025/05/29,ACTIVA,2025/05/29,2025
TIENDA ARA 1251 SINCELEJO SAN LUIS BOTERO,SINCELEJO,134475,2023/08/11,ACTIVA,2025/03/21,2025
TIENDA ARA 0813 SAN PEDRO DE URABA,URABA,107062,2021/12/10,ACTIVA,2025/03/20,2025
TIENDA ARA 0857 PUERTO GAITAN,VILLAVICENCIO,407419,2021/12/15,ACTIVA,2025/03/20,2025
TIENDA ARA 0907 SAN JUAN DE BETULIA CENTRO,SINCELEJO,131787,2023/02/14,ACTIVA,2025/03/21,2025
TIENDA ARA 0975 CANDELARIA EL CARMELO CALLE 13,PALMIRA,141332,2022/06/10,ACTIVA,2025/03/21,2025
TIENDA ARA 1011 PAILITAS CARRERA 6,AGUACHICA,63959,2022/09/16,ACTIVA,2025/03/21,2025
TIENDA ARA 1057 EL PRADO CALLE 16 CARTAGO,CARTAGO,109037,2022/12/29,ACTIVA,2025/03/25,2025
TIENDA ARA 1091 CENTRO FONSECA LA GUAJIRA,LA GUAJIRA,174161,2022/10/31,ACTIVA,2025/03/21,2025
TIENDA ARA 1118 MANIZALES LA FRANCIA,MANIZALES,228234,2023/02/22,ACTIVA,2025/03/21,2025
TIENDA ARA 1508 VILLA RICA EL JARDIN CL 3,CAUCA,251432,2025/03/19,ACTIVA,2025/03/19,2025
TIENDA ARA 899 BARRANCABERMEJA BOSTON,BARRANCABERMEJA,133622,2022/11/18,ACTIVA,2025/03/21,2025
TIENDA ARA N° 132 CALAMAR,CARTAGENA,35123402,2015/10/01,ACTIVA,2025/03/21,2025
TIENDA 0441 ARA PLANETA RICA,MONTERIA,163043,2018/04/16,ACTIVA,2025/03/20,2025
TIENDA ARA 0038 CAICEDONIA,SEVILLA,14846,2014/04/30,ACTIVA,2025/03/20,2025
TIENDA ARA 0039 ANSERMANUEVO,CARTAGO,78912,2014/04/29,ACTIVA,2025/03/25,2025
TIENDA ARA 0041 ANDALUCIA,TULUA,79481,2014/05/06,ACTIVA,2025/03/20,2025
TIENDA ARA 0042 VITERBO,MANIZALES,165207,2014/05/29,ACTIVA,2025/03/20,2025
TIENDA ARA 0043 ALCALA,CARTAGO,79149,2014/05/28,ACTIVA,2025/03/25,2025
TIENDA ARA 0044 TORO,CARTAGO,79460,2014/07/07,ACTIVA,2025/03/25,2025
TIENDA ARA 0045 MANIZALES,MANIZALES,166188,2014/07/30,ACTIVA,2025/03/20,2025
TIENDA ARA 0046 LA VICTORIA,CARTAGO,79811,2014/08/11,ACTIVA,2025/03/25,2025
TIENDA ARA 0047 TULUA,TULUA,80216,2014/08/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0048 SEVILLA,SEVILLA,14981,2014/09/01,ACTIVA,2025/03/20,2025
TIENDA ARA 0049 CIRCASIA,ARMENIA,194991,2014/08/25,ACTIVA,2025/03/21,2025
TIENDA ARA 0051 NEIRA PLAZA,MANIZALES,172433,2015/05/21,ACTIVA,2025/03/20,2025
TIENDA ARA 0052 FILANDIA,ARMENIA,196611,2014/12/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0053 MANIZALES MINITAS,MANIZALES,167695,2014/10/15,ACTIVA,2025/03/20,2025
TIENDA ARA 0054 QUIMBAYA,ARMENIA,194937,2014/08/25,ACTIVA,2025/03/21,2025
TIENDA ARA 0055 BUGALAGRANDE PLAZA,TULUA,80635,2014/09/18,ACTIVA,2025/03/20,2025
TIENDA ARA 0056 BELALCAZAR PLAZA,MANIZALES,167426,2014/10/06,ACTIVA,2025/03/20,2025
TIENDA ARA 0057 VERSALLES,MANIZALES,172994,2015/06/18,ACTIVA,2025/03/20,2025
TIENDA ARA 0058 DOSQUEBRADAS ESTACION ACUARELA,DOSQUEBRADAS,45313,2014/09/18,ACTIVA,2025/03/20,2025
TIENDA ARA 0059 ZARZAL CHATARRERA,TULUA,80636,2014/09/18,ACTIVA,2025/03/20,2025
TIENDA ARA 006 ZARZAL,TULUA,77862,2013/10/28,ACTIVA,2025/03/20,2025
TIENDA ARA 0060 SAN PEDRO,BUGA,57543,2014/10/03,ACTIVA,2025/03/21,2025
TIENDA ARA 0061 MARSELLA,PEREIRA,18119981,2014/11/14,ACTIVA,2025/03/20,2025
TIENDA ARA 0062 GALERIA MANIZALES,MANIZALES,168376,2014/11/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0063 LA UNION PLAZA,CARTAGO,80175,2014/09/18,ACTIVA,2025/03/25,2025
TIENDA ARA 0064 MONTENEGRO,ARMENIA,196286,2014/11/19,ACTIVA,2025/03/21,2025
TIENDA ARA 0065 LA TEBAIDA,ARMENIA,195895,2014/10/21,ACTIVA,2025/03/28,2025
TIENDA ARA 0066 EL RETIRO,MANIZALES,169078,2014/12/01,ACTIVA,2025/03/20,2025
TIENDA ARA 0067 CALARCA COLON,ARMENIA,195938,2014/10/21,ACTIVA,2025/03/21,2025
TIENDA ARA 0068 APIA PLAZA PRINCIPAL,PEREIRA,18119834,2014/11/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0069 BARCELONA,ARMENIA,195896,2014/10/21,ACTIVA,2025/03/21,2025
