Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado
TIENDA ARA 0071 BARRIO LA UNION,ARMENIA,195912,2014/10/22,ACTIVA,2025/03/21,2025
TIENDA ARA 0072 CARTAGO,CARTAGO,80683,2014/12/18,ACTIVA,2025/03/25,2025
TIENDA ARA 0073 RIOSUCIO PLAZA SAN SEBASTIAN,MANIZALES,167715,2014/10/15,CANCELADA,2017/02/28,2017
TIENDA ARA 0074 GRANADA,ARMENIA,196287,2014/11/19,ACTIVA,2025/03/21,2025
TIENDA ARA 0075 DOVIO,CARTAGO,80682,2014/12/16,ACTIVA,2025/03/25,2025
TIENDA ARA 0076 ARANZAZU PLAZA,MANIZALES,168499,2014/11/18,ACTIVA,2025/03/20,2025
TIENDA ARA 0077 SUPIA,MANIZALES,168584,2014/11/19,ACTIVA,2025/03/20,2025
TIENDA ARA 0078 SAN CAMILO,PEREIRA,18120169,2014/11/25,ACTIVA,2025/03/20,2025
TIENDA ARA 0079,ARMENIA,196372,2014/11/25,ACTIVA,2025/03/21,2025
TIENDA ARA 0080 ROLDANILLO,CARTAGO,80681,2014/12/16,ACTIVA,2025/03/25,2025
TIENDA ARA 0081 TRUJILLO,TULUA,81093,2014/11/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0082 BELMONTE,PEREIRA,18120170,2014/11/25,ACTIVA,2025/03/20,2025
TIENDA ARA 0083 LA PAILA,TULUA,81110,2014/11/12,ACTIVA,2025/03/20,2025
TIENDA ARA 0084 CIELOS ABIERTOS,ARMENIA,196390,2014/11/28,ACTIVA,2025/03/21,2025
TIENDA ARA 0085 MANIZALES ALTA SUIZA,MANIZALES,176134,2015/11/20,ACTIVA,2025/03/20,2025
TIENDA ARA 0086 EL NOGAL,ARMENIA,196391,2014/11/28,ACTIVA,2025/03/21,2025
TIENDA ARA 0087 PALESTINA,CHINCHINA,21060,2014/11/14,ACTIVA,2025/03/21,2025
TIENDA ARA 0088 BELEN DE UMBRIA,PEREIRA,18126051,2015/08/06,ACTIVA,2025/03/20,2025
TIENDA ARA 0090 ANSERMA,MANIZALES,169321,2014/12/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0091 BUGA CENTRO,BUGA,58012,2014/12/18,ACTIVA,2025/03/21,2025
TIENDA ARA 0092 CARRERA 21,MANIZALES,169424,2014/12/22,ACTIVA,2025/03/20,2025
TIENDA ARA 0093 BULEVAR DEL COLISEO,ARMENIA,198190,2015/02/27,ACTIVA,2025/03/21,2025
TIENDA ARA 0094 FATIMA,MANIZALES,173650,2015/07/15,ACTIVA,2025/03/20,2025
TIENDA ARA 0095 SANTUARIO PLAZA PRINCIPAL,PEREIRA,18123992,2015/05/22,ACTIVA,2025/03/20,2025
TIENDA ARA 0096 EL BOSQUE,MANIZALES,173424,2015/07/07,ACTIVA,2025/03/20,2025
TIENDA ARA 0097 LA ENEA,MANIZALES,175651,2015/10/14,ACTIVA,2025/03/20,2025
TIENDA ARA 0098 SALAMINA,MANIZALES,176137,2015/11/20,ACTIVA,2025/03/20,2025
TIENDA ARA 0099 QUINCHIA,PEREIRA,18125243,2015/07/14,ACTIVA,2025/03/20,2025
TIENDA ARA 0100 BUGA,BUGA,59560,2015/07/15,ACTIVA,2025/03/21,2025
TIENDA ARA 0107 BARRANQUILLA SURISALCEDO,BARRANQUILLA,653199,2016/08/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0120 BARRANQUILLA VILLA SAN PEDRO,BARRANQUILLA,634410,2015/11/11,ACTIVA,2025/03/21,2025
TIENDA ARA 0121 VILLA CAROLINA,BARRANQUILLA,634409,2015/11/11,ACTIVA,2025/03/21,2025
TIENDA ARA 0126 ARJONA TRONCAL,CARTAGENA,35307702,2015/11/18,ACTIVA,2025/03/21,2025
TIENDA ARA 0127 CARTAGENA PIEDRA BOLIVAR,CARTAGENA,35313002,2015/11/19,ACTIVA,2025/03/21,2025
TIENDA ARA 0131 ESCALLON VILLA,CARTAGENA,35797002,2016/03/09,ACTIVA,2025/03/21,2025
TIENDA ARA 0133 BARRANQUILLA NUEVA GRANADA,BARRANQUILLA,633129,2015/10/20,ACTIVA,2025/03/21,2025
TIENDA ARA 0134 SAN JACINTO,CARTAGENA,35224202,2015/10/22,ACTIVA,2025/03/21,2025
TIENDA ARA 0136 CARMEN DE BOLIVAR,CARTAGENA,35312902,2015/11/19,ACTIVA,2025/03/21,2025
TIENDA ARA 0138 CARTAGENA EL CAMPESTRE,CARTAGENA,35313102,2015/11/19,ACTIVA,2025/03/21,2025
TIENDA ARA 0139 OVEJAS,SINCELEJO,89528,2015/11/11,ACTIVA,2025/03/21,2025
TIENDA ARA 0140 SABANAGRANDE,BARRANQUILLA,634412,2015/11/11,ACTIVA,2025/03/21,2025
TIENDA ARA 0141 CARTAGENA CRESPO,CARTAGENA,35307402,2015/11/18,ACTIVA,2025/03/21,2025
TIENDA ARA 0142 CARTAGENA EL CARMELO,CARTAGENA,35312602,2015/11/19,ACTIVA,2025/03/21,2025
TIENDA ARA 0143 JUAN DE ACOSTA,BARRANQUILLA,634655,2015/11/17,ACTIVA,2025/03/21,2025
TIENDA ARA 0144 MAGANGUE CORDOBA,MAGANGUE,37323,2015/11/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0145 MAGANGUE MONTECARLO,MAGANGUE,37540,2016/01/27,ACTIVA,2025/03/20,2025
TIENDA ARA 0146 BARRANQUILLA CEVILLAR,BARRANQUILLA,634653,2015/11/17,ACTIVA,2025/03/21,2025
TIENDA ARA 0147 SOLEDAD EL MANANTIAL,BARRANQUILLA,634651,2015/11/17,ACTIVA,2025/03/21,2025
TIENDA ARA 0148 BARRANQUILLA SIMON BOLIVAR,BARRANQUILLA,645382,2016/05/02,ACTIVA,2025/03/21,2025
TIENDA ARA 0149 CARTAGENA MANGA,CARTAGENA,36114602,2016/05/10,ACTIVA,2025/03/21,2025
TIENDA ARA 0150 CIENAGA CALLE 17,SANTA MARTA PARA EL MAGDALENA,173164,2015/11/24,ACTIVA,2025/03/21,2025
TIENDA ARA 0151 CARTAGENA PIE DEL CERRO,CARTAGENA,35307602,2015/11/18,ACTIVA,2025/03/21,2025
TIENDA ARA 0152 CARTAGENA BAZURTO PIE DE LA POPA,CARTAGENA,35328002,2015/11/23,ACTIVA,2025/03/21,2025
TIENDA ARA 0153 SANTA MARTA BAVARIA,SANTA MARTA PARA EL MAGDALENA,173054,2015/11/19,ACTIVA,2025/03/21,2025
TIENDA ARA 0154 SAN LORENZO,SANTA MARTA PARA EL MAGDALENA,175881,2016/03/09,ACTIVA,2025/03/21,2025
TIENDA ARA 0155 SOLEDAD LA ARBOLEDA,BARRANQUILLA,638223,2016/01/27,ACTIVA,2025/03/21,2025
TIENDA ARA 0156 PUERTO COLOMBIA PRADOMAR,BARRANQUILLA,638224,2016/01/27,ACTIVA,2025/03/21,2025
TIENDA ARA 0157 TURBACO,CARTAGENA,36090702,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0158 SOLEDAD LOS ALMENDROS,BARRANQUILLA,645501,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0159 POLONUEVO,BARRANQUILLA,645505,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0160 SANTO TOMAS,BARRANQUILLA,645507,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0161 SOLEDAD LA INMACULADA,BARRANQUILLA,645506,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0162 SANTA MARTA ALCAZARES,SANTA MARTA PARA EL MAGDALENA,178552,2016/06/15,ACTIVA,2025/03/21,2025
TIENDA ARA 0163 BARRANQUILLA EL CARMEN,BARRANQUILLA,645508,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0164 SABANALARGA CENTRO,BARRANQUILLA,645504,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0165 CARTAGENA SAN JOSE DE LOS CAMPANOS,CARTAGENA,36682502,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0166 SINCELEJO LA PAJUELA,SINCELEJO,93234,2016/08/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0167 LA GRANJA,BOGOTA,2699764,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0168 LOS LAGARTOS,BOGOTA,2699765,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0169 MIRAFLORES,BOGOTA,2699748,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0170 CHIA PARQUE OSPINA,BOGOTA,2708120,2016/07/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0171 LURUACO,BARRANQUILLA,645502,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0172 BARRANQUILLA COLOMBIA,BARRANQUILLA,645503,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0173 CARMEN DE BOLIVAR PLAZA,CARTAGENA,36090902,2016/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0174 CARTAGENA LA CAROLINA,CARTAGENA,36477702,2016/07/27,ACTIVA,2025/03/21,2025
TIENDA ARA 0175 SOACHA CENTRO,BOGOTA,2699759,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0176 SOLEDAD HIPODROMO,BARRANQUILLA,651553,2016/07/25,ACTIVA,2025/03/21,2025
TIENDA ARA 0177 PUERTO COLOMBIA SAN CARLOS,BARRANQUILLA,653194,2016/08/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0178 COTA CENTRO,BOGOTA,2699756,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0179 VILLA DEL RIO,BOGOTA,2699755,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0180 PERDOMO,BOGOTA,2699754,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0181 SANTA MARTA EL JARDIN,SANTA MARTA PARA EL MAGDALENA,180422,2016/08/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0182 EL RESTREPO,BOGOTA,2699751,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0183 CHICO LAGO,BOGOTA,2699745,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0184 ARBOLEDA SAN GABRIEL,BOGOTA,2708117,2016/07/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0185 FUNZA CALLE 15,FACATATIVA,102945,2016/07/14,ACTIVA,2025/03/26,2025
TIENDA ARA 0186 VERBENAL,BOGOTA,2708113,2016/07/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0187 TABIO CENTRO,BOGOTA,2708092,2016/07/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0188 SOACHA COMPARTIR,BOGOTA,2708096,2016/07/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0189 VILLETA CENTRO,FACATATIVA,102937,2016/07/14,ACTIVA,2025/03/26,2025
TIENDA ARA 0191 SOACHA LA DESPENSA,BOGOTA,2708097,2016/07/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0192 GALAPA CRUZ DE JUBILEO,BARRANQUILLA,655087,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0193 SAN ONOFRE CENTRO,SINCELEJO,93235,2016/08/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0194 BARRANQUILLA CIUDADELA 20 DE JULIO,BARRANQUILLA,655083,2016/09/07,CANCELADA,2017/02/21,2017
TIENDA ARA 0194 BARRANQUILLA LA SIERRA,BARRANQUILLA,686540,2017/10/03,ACTIVA,2025/03/21,2025
TIENDA ARA 0195 SOLEDAD LA CENTRAL,BARRANQUILLA,653198,2016/08/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0196 CARTAGENA LA ESPERANZA,CARTAGENA,36683202,2016/09/08,ACTIVA,2025/03/21,2025
TIENDA ARA 0197 SANTA MARTA MIRAFLORES,SANTA MARTA PARA EL MAGDALENA,180428,2016/08/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0198 NIZA,BOGOTA,2699761,2016/06/17,ACTIVA,2025/03/20,2025
TIENDA ARA 0199 COSTA AZUL SUBA,BOGOTA,2708109,2016/07/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0200 PIVIJAY,SANTA MARTA PARA EL MAGDALENA,180420,2016/08/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0202 CAJICA CRA 6,BOGOTA,2708123,2016/07/11,ACTIVA,2025/03/20,2025
TIENDA ARA 0203 MALAMBO CENTRO,BARRANQUILLA,653197,2016/08/16,ACTIVA,2025/03/21,2025
TIENDA ARA 0204 CALLE REAL,CARTAGENA,36682902,2016/09/08,ACTIVA,2025/03/21,2025
TIENDA ARA 0205 SOACHA QUINTANARES,BOGOTA,2709500,2016/07/14,ACTIVA,2025/03/20,2025
TIENDA ARA 0206 BOGOTA CARRERA 13,BOGOTA,2709499,2016/07/14,ACTIVA,2025/03/20,2025
TIENDA ARA 0207 MOSQUERA ECOPLAZA,FACATATIVA,102946,2016/07/14,ACTIVA,2025/03/26,2025
TIENDA ARA 0208 COROZAL CENTRO,SINCELEJO,93564,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0209 SINCELEJO VERSALLES,SINCELEJO,93562,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0210 BODEGA LAS FERIAS,BOGOTA,2730191,2016/09/07,ACTIVA,2025/03/20,2025
TIENDA ARA 0211 SUBA SALITRE,BOGOTA,2730168,2016/09/07,ACTIVA,2025/03/20,2025
TIENDA ARA 0212 PUNTO FERRETERO,BOGOTA,2730184,2016/09/07,ACTIVA,2025/03/20,2025
TIENDA ARA 0213 SINCELEJO LA BUCARAMANGA,SINCELEJO,93568,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0214 SANTA MARTA LA QUINTA,SANTA MARTA PARA EL MAGDALENA,181110,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0215 BARRANQUILLA GRANADILLO,BARRANQUILLA,655085,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0216 SINCELEJO LA NARCIZA,SINCELEJO,93563,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0217 BARRANQUILLA VILLA SANTOS,BARRANQUILLA,655086,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0218 MADRID CALLE 7,FACATATIVA,104105,2016/09/08,ACTIVA,2025/03/26,2025
TIENDA ARA 0218 MADRID CALLE 7,FACATATIVA,112907,2017/08/17,CANCELADA,2017/08/17,2017
TIENDA ARA 0219 BARRANQUILLA CENTRO,BARRANQUILLA,655084,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0220 CARTAGENA FREDONIA,CARTAGENA,36896902,2016/10/26,ACTIVA,2025/03/21,2025
TIENDA ARA 0221 CARTAGENA SAN FERNANDO,CARTAGENA,36682702,2016/09/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0222 BOSCONIA,VALLEDUPAR,148895,2017/11/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0223 REPELON,BARRANQUILLA,657546,2016/10/06,ACTIVA,2025/03/21,2025
TIENDA ARA 0224 SOPO PLAZA DE MERCADO,BOGOTA,2878835,2017/10/09,ACTIVA,2025/03/20,2025
TIENDA ARA 0225 SANTA BARBARA OCCIDENTAL,BOGOTA,2730176,2016/09/07,ACTIVA,2025/03/20,2025
TIENDA ARA 0226 CENTRO TOCANCIPA,BOGOTA,2730221,2016/09/07,ACTIVA,2025/03/20,2025
TIENDA ARA 0227 PARQUE ENGATIVA,BOGOTA,2730161,2016/09/07,ACTIVA,2025/03/20,2025
TIENDA ARA 0228 PONEDERA,BARRANQUILLA,657547,2016/10/06,ACTIVA,2025/03/21,2025
TIENDA ARA 0229 USATAMA RESERVADO,BOGOTA,2737576,2016/09/27,ACTIVA,2025/03/20,2025
TIENDA ARA 0230 SIBATE,BOGOTA,2868903,2017/09/15,ACTIVA,2025/03/20,2025
TIENDA ARA 0231 SINCELEJO CENTRO,SINCELEJO,94035,2016/10/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0232 SINCELEJO AVENIDA PEÑITAS,SINCELEJO,94036,2016/10/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0233 SINCELEJO LA FORD,SINCELEJO,94037,2016/10/07,ACTIVA,2025/03/21,2025
TIENDA ARA 0234 SANTA MARTA CONCEPCION,SANTA MARTA PARA EL MAGDALENA,182081,2016/10/06,ACTIVA,2025/03/21,2025
TIENDA ARA 0235 CENTRO COMERCIAL MEGA 10,BOGOTA,2737571,2016/09/27,ACTIVA,2025/03/20,2025
TIENDA ARA 0236 MARCO FIDEL SUAREZ,BOGOTA,2737554,2016/09/27,ACTIVA,2025/03/20,2025
TIENDA ARA 0237 MADERAS LOS DOS PUENTES,BOGOTA,2737564,2016/09/27,ACTIVA,2025/03/20,2025
TIENDA ARA 0238 CASA GACHANCIPA,BOGOTA,2737545,2016/09/27,ACTIVA,2025/03/20,2025
TIENDA ARA 0239 COROZAL TRONCAL,SINCELEJO,94524,2016/11/30,ACTIVA,2025/03/21,2025
TIENDA ARA 0240 PLATO,SANTA MARTA PARA EL MAGDALENA,182074,2016/10/06,ACTIVA,2025/03/21,2025
TIENDA ARA 0241 CARTAGENA EL POZON,CARTAGENA,36898102,2016/10/27,ACTIVA,2025/03/21,2025
TIENDA ARA 0242 CARTAGENA VILLAS DE LA CANDELARIA,CARTAGENA,37996602,2017/06/30,ACTIVA,2025/03/21,2025
TIENDA ARA 0243 MADRID SANTA MATILDE,FACATATIVA,104976,2016/10/20,ACTIVA,2025/03/26,2025
TIENDA ARA 0243 MADRID SANTA MATILDE,FACATATIVA,112910,2017/08/17,CANCELADA,2017/08/17,2017
TIENDA ARA 0244 AURES DOS,BOGOTA,2745360,2016/10/18,ACTIVA,2025/03/20,2025
TIENDA ARA 0245 SAN VICTORINO,BOGOTA,2745372,2016/10/18,ACTIVA,2025/03/20,2025
TIENDA ARA 0247 NUEVO 54,BOGOTA,2745366,2016/10/18,ACTIVA,2025/03/20,2025
TIENDA ARA 0248 POTOSI,BOGOTA,2745363,2016/10/18,ACTIVA,2025/03/20,2025
TIENDA ARA 0250 BELMIRA,BOGOTA,2746827,2016/10/21,ACTIVA,2025/03/20,2025
TIENDA ARA 0251 SAN CARLOS,BOGOTA,2746823,2016/10/21,ACTIVA,2025/03/20,2025
TIENDA ARA 0252 CITY U,BOGOTA,2746824,2016/10/21,ACTIVA,2025/03/20,2025
TIENDA ARA 0253 FACATATIVA CARRERA PRIMERA,FACATATIVA,105019,2016/10/24,CANCELADA,2019/03/19,2019
TIENDA ARA 0255 GUADUAL FONTIBON,BOGOTA,2746829,2016/10/21,ACTIVA,2025/03/20,2025
TIENDA ARA 0256 FACATATIVA CARRERA QUINTA,FACATATIVA,105020,2016/10/24,ACTIVA,2025/03/26,2025
TIENDA ARA 0257 GALERIAS,BOGOTA,2746835,2016/10/21,ACTIVA,2025/03/20,2025
TIENDA ARA 0258 SINCELEJO VERBEL,SINCELEJO,97306,2017/06/06,ACTIVA,2025/03/21,2025
TIENDA ARA 0259 GALAPA VILLA OLIMPICA,BARRANQUILLA,658871,2016/10/26,ACTIVA,2025/03/21,2025
TIENDA ARA 0260 CARTAGENA BOCAGRANDE,CARTAGENA,36953002,2016/11/15,ACTIVA,2025/03/21,2025
TIENDA ARA 0261 MONTERIA LA GLORIA,MONTERIA,155802,2017/05/10,ACTIVA,2025/03/20,2025
TIENDA ARA 0262 ARACATACA,SANTA MARTA PARA EL MAGDALENA,196401,2017/11/30,ACTIVA,2025/03/21,2025
TIENDA ARA 0265 BARRANQUILLA REBOLO,BARRANQUILLA,659964,2016/11/08,ACTIVA,2025/03/21,2025
TIENDA ARA 0266 SAMPUES,SINCELEJO,94343,2016/11/08,ACTIVA,2025/03/21,2025
TIENDA ARA 0267 CIUDAD LATINA,BOGOTA,2760666,2016/12/12,ACTIVA,2025/03/20,2025
TIENDA ARA 0268 LA URIBE USAQUEN,BOGOTA,2760660,2016/12/12,ACTIVA,2025/03/20,2025
TIENDA ARA 0269 CENTRO TENJO,BOGOTA,2760669,2016/12/12,ACTIVA,2025/03/20,2025
TIENDA ARA 0270 CARTAGENA BUENOS AIRES,CARTAGENA,37009202,2016/11/30,ACTIVA,2025/03/21,2025
TIENDA ARA 0271 FUNDACION,SANTA MARTA PARA EL MAGDALENA,190106,2017/06/13,ACTIVA,2025/03/21,2025
TIENDA ARA 0272 SINCE,SINCELEJO,94523,2016/11/30,ACTIVA,2025/03/21,2025
TIENDA ARA 0274 BARRANQUILLA LAS MERCEDES,BARRANQUILLA,673740,2017/05/04,ACTIVA,2025/03/21,2025
TIENDA ARA 0276 MINUTO DE DIOS,BOGOTA,2780104,2017/02/13,ACTIVA,2025/03/20,2025
TIENDA ARA 0277 BOGOTA LAS NIEVES,BOGOTA,2780096,2017/02/13,ACTIVA,2025/03/20,2025
TIENDA ARA 0278 CHIA AVENIDA PRADILLA,BOGOTA,2780095,2017/02/13,ACTIVA,2025/03/20,2025
TIENDA ARA 0279 BOGOTA LUCERO BAJO,BOGOTA,2780094,2017/02/13,ACTIVA,2025/03/20,2025
TIENDA ARA 0280 MONTERIA CHUCHURUBI,MONTERIA,156812,2017/06/28,ACTIVA,2025/03/20,2025
TIENDA ARA 0281 FUSAGASUGA URBANIZACION GALICIA,BOGOTA,2896367,2017/11/29,ACTIVA,2025/03/20,2025
TIENDA ARA 0282 MONTERIA URBINA,MONTERIA,156810,2017/06/28,ACTIVA,2025/03/20,2025
TIENDA ARA 0283 PARQUEADERO CARRERA 100,BOGOTA,2780101,2017/02/13,ACTIVA,2025/03/20,2025
TIENDA ARA 0284 BOGOTA ENGATIVA LA CABAÑA,BOGOTA,2896487,2017/11/30,ACTIVA,2025/03/20,2025
