Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
TIENDA D1 MED JESUS NAZARENO,MEDELLIN PARA ANTIOQUIA,69415202,2019/11/19,ACTIVA,2025/03/21,2025,6.259474600000001,-75.5655723,"Cl. 61 #51-33, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
TIENDA D1 MED KLASSIO LAURELES,MEDELLIN PARA ANTIOQUIA,77802102,2023/08/10,ACTIVA,2025/03/21,2025,6.239951,-75.5816055,"Cl. 34 #64a-11, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia"
TIENDA D1 MED LA 33,MEDELLIN PARA ANTIOQUIA,69376802,2019/11/12,CANCELADA,2020/07/02,2020,6.2384175,-75.6071046,"#83a- a 83a-, Av. 33 #5387, Medellín, Antioquia, Colombia"
TIENDA D1 MED LA 73,MEDELLIN PARA ANTIOQUIA,74364902,2022/03/24,ACTIVA,2025/03/21,2025,4.7570497,-74.0539646,"Cl. 174a #54C-28, Bogotá, Colombia"
TIENDA D1 MED LA AMERICA SAN JUAN,MEDELLIN PARA ANTIOQUIA,73088502,2021/09/10,ACTIVA,2025/03/21,2025,6.2521089,-75.6069728,"Cl 44 #89-22, La América, Medellín, La América, Medellín, Antioquia, Colombia"
TIENDA D1 MED LA AURORA,MEDELLIN PARA ANTIOQUIA,68552202,2019/06/28,ACTIVA,2025/03/21,2025,6.281121799999999,-75.6138278,"Barrio La Aurora, Santa Margarita, Medellín, San Cristóbal, Medellín, Antioquia, Colombia"
TIENDA D1 MED LA COLONIA,MEDELLIN PARA ANTIOQUIA,75783802,2022/10/07,ACTIVA,2025/03/21,2025,4.722051599999999,-74.0668056,"Ak. 58 #13114, Bogotá, Colombia"
TIENDA D1 MED LA FRONTERA,MEDELLIN PARA ANTIOQUIA,71018902,2020/10/13,ACTIVA,2025/03/21,2025,6.181712399999999,-75.5725179,"Cl. 20 Sur #36a158, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia"
TIENDA D1 MED LA PLAYA,MEDELLIN PARA ANTIOQUIA,78738002,2024/01/30,ACTIVA,2025/03/21,2025,6.2483674,-75.5617264,"Cl. 52 #42-30, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
TIENDA D1 MED LAS NIEVES,MEDELLIN PARA ANTIOQUIA,70666902,2020/08/06,ACTIVA,2025/03/21,2025,4.6034418,-74.0681681,"Cra. 3 #19 - 15, Santa Fé, Bogotá, Colombia"
TIENDA D1 MED LLANADITAS,MEDELLIN PARA ANTIOQUIA,72239302,2021/04/27,ACTIVA,2025/03/21,2025,6.2519165,-75.54287459999999,"Cra. 21 #59-2 a 59-62, Medellín, Villa Hermosa, Medellín, Antioquia, Colombia"
TIENDA D1 MED LORETO AVILA,MEDELLIN PARA ANTIOQUIA,72429502,2021/06/03,ACTIVA,2025/03/21,2025,4.7209883,-74.04504159999999,"Cra. 18 #136a-14, Bogotá, Colombia"
TIENDA D1 MED MALL CALASANZ,MEDELLIN PARA ANTIOQUIA,73672402,2021/12/07,ACTIVA,2025/03/21,2025,6.2647347,-75.5966474,"Av. 80 #50-127, Calasanz Parte Alta, Medellín, La América, Medellín, Antioquia, Colombia"
TIENDA D1 MED MANR PALOS VERDES,MEDELLIN PARA ANTIOQUIA,73812602,2022/01/14,ACTIVA,2025/03/21,2025,4.674615,-74.1207312,"Cra. 85c #25F-13, Fontibón, Bogotá, Colombia"
TIENDA D1 MED MANRIQUE LA 70,MEDELLIN PARA ANTIOQUIA,69820102,2020/02/07,ACTIVA,2025/03/21,2025,6.2655197,-75.55224609999999,"Cl 70a #42-67, El Pomar, Medellín, Manrique, Medellín, Antioquia, Colombia"
TIENDA D1 MED MANRIQUE SAN PABLO,MEDELLIN PARA ANTIOQUIA,75581502,2022/09/08,ACTIVA,2025/03/21,2025,6.287713399999999,-75.5462259,"Cl. 97 #36-52, Moscu II, Medellín, Popular, Medellín, Antioquia, Colombia"
TIENDA D1 MED MIRAFLORES,MEDELLIN PARA ANTIOQUIA,76156902,2022/12/12,ACTIVA,2025/03/21,2025,5.196047999999999,-73.14597169999999,"Cl. 4 #10-59, Miraflores, Boyacá, Colombia"
TIENDA D1 MED MON Y VELARDE,MEDELLIN PARA ANTIOQUIA,73253702,2021/10/01,ACTIVA,2025/03/21,2025,6.2492448,-75.560121,"Cl. 54 #41-28, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
TIENDA D1 MED NARANJITOS,MEDELLIN PARA ANTIOQUIA,76950002,2023/04/12,ACTIVA,2025/03/21,2025,6.1857426,-75.65982439999999,"San Antonio de Prado, Medellín, San Antonio de Prado, Medellín, Antioquia, Colombia"
TIENDA D1 MED OBELISCO,MEDELLIN PARA ANTIOQUIA,80559302,2024/10/22,ACTIVA,2025/03/21,2025,4.6432685,-74.0907379,"Cl. 44 # 50 - 62, Teusaquillo, Bogotá, D.C, Cundinamarca, Colombia"
TIENDA D1 MED ONIX,MEDELLIN PARA ANTIOQUIA,71199202,2020/11/10,ACTIVA,2025/03/21,2025,4.674615,-74.1207312,"Cra. 85c #25F-13, Fontibón, Bogotá, Colombia"
TIENDA D1 MED PABLO TOBON,MEDELLIN PARA ANTIOQUIA,74047402,2022/02/15,ACTIVA,2025/03/21,2025,6.2471203,-75.5596498,"Cra. 40, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
TIENDA D1 MED PALMITAS TUNEL DE OCCIDENTE,MEDELLIN PARA ANTIOQUIA,71901702,2021/03/09,ACTIVA,2025/03/21,2025,6.334386599999999,-75.69307479999999,"Medellín, Palmitas, Medellín, Antioquia, Colombia"
TIENDA D1 MED PEDREGAL,MEDELLIN PARA ANTIOQUIA,71644702,2021/02/09,ACTIVA,2025/03/21,2025,6.1882611,-75.6171561,"Vía El Pedregal, Santa Maria del Campo, Itagüi, Antioquia, Colombia"
TIENDA D1 MED PICACHITO,MEDELLIN PARA ANTIOQUIA,69376702,2019/11/08,ACTIVA,2025/03/21,2025,6.300395099999999,-75.5834805,"Picachito, Medellín, Doce de Octubre, Medellín, Antioquia, Colombia"
TIENDA D1 MED PICACHITO RIELES,MEDELLIN PARA ANTIOQUIA,82321002,2025/07/21,ACTIVA,2025/07/21,2025,6.300395099999999,-75.5834805,"Picachito, Medellín, Doce de Octubre, Medellín, Antioquia, Colombia"
