exp,prop_independiente_total0,prop_independiente_total1,lb,ub
-3,.0334,.033,-.032464001,.098463997
-2,.0267,.0459,-.0064320001,.098232001
-1,.018,.0215,-.01378,.056779999
0,0,0,0,0
1,.0192,-.0252,-.062831998,.012432
2,.0299,-.0605,-.119104,-.001896
3,.0409,-.118,-.198164,-.037836
