exp,prop_independiente_total0,prop_independiente_total1,lb,ub
-3,.0232,-.0216,-.067071997,.023871999
-2,.0229,.0195,-.025384,.064383999
-1,.0166,.0103,-.022236001,.042835999
0,0,0,0,0
1,.0135,-.013,-.03946,.01346
2,.0261,-.0356,-.086755998,.015556
3,.0273,-.069,-.122508,-.015492
