Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion,latitud,longitud,direccion
TIENDA ARA 0560 IBAGUE LADERAS PIEDRA PINTADA,IBAGUE,298375,2018/12/18,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0568 AYAPEL CENTRO,MONTERIA,171865,2019/05/14,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 0618 SANTA MARTA MERCADO CALLE 11,SANTA MARTA PARA EL MAGDALENA,222246,2019/10/21,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0646 CIENAGA CALLE 20,SANTA MARTA PARA EL MAGDALENA,223124,2019/11/19,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0683 SANTA MARTA BONDA,SANTA MARTA PARA EL MAGDALENA,238846,2021/02/17,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0701 PENSILVANIA CENTRO,LA DORADA,59885,2021/05/12,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 0714 LA PAZ CENTRO,VALLEDUPAR,177509,2021/01/26,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0733 CHIGORODÓ EL JARDIN,URABA,102738,2021/02/24,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 0747 SABANALARGA LOS MANGUITOS,BARRANQUILLA,799004,2021/08/11,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0751 CALI GUABITO MALL Q,CALI,1109769,2021/02/24,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 0761 CÚCUTA URBANIZACIÓN LOS ANGELES,CUCUTA,404787,2021/10/08,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0819 GUACAMAYAL ZONA BANANERA,SANTA MARTA PARA EL MAGDALENA,248985,2021/11/19,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0843 SANTA MARTA ANDREA CAROLINA,SANTA MARTA PARA EL MAGDALENA,248044,2021/10/28,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0858 SANTA MARTA TORRES DEL PARQUE,SANTA MARTA PARA EL MAGDALENA,249024,2021/11/22,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0864 FLORIDA LA ESPERANZA,PALMIRA,138528,2021/12/06,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 0931 MAICAO EL BOSQUE BOSCAN,LA GUAJIRA,173264,2022/09/20,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 0935 GUADALAJARA DE BUGA EL JARDIN,BUGA,82283,2022/08/22,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0945 SANTA MARTA GAIRA CENTRO,SANTA MARTA PARA EL MAGDALENA,259332,2022/08/18,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0954 SAHAGUN EL CARMEN,MONTERIA,198289,2022/06/07,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 1003 SANTIAGO DE TOLU SAN FELIPE,SINCELEJO,129984,2022/10/07,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1046 GUARANDA SAN CAMILO,MAGANGUE,52988,2022/09/16,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 1059 PIEDECUESTA PINARES,BUCARAMANGA,9000634921,2022/12/06,ACTIVA,2025/03/25,2025,,,,,,
TIENDA ARA 1077 MADRID LA VIRGEN,FACATATIVA,169980,2022/11/08,ACTIVA,2025/03/26,2025,,,,,,
TIENDA ARA 1089 LA GUAJIRA URIBIA ISMAEL GARCIA,LA GUAJIRA,173930,2022/10/14,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1111 SAN MARTIN CENTRO CESAR,AGUACHICA,64476,2022/11/02,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1131 MEDELLIN LA FLORESTA,MEDELLIN PARA ANTIOQUIA,76109202,2022/11/29,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1133 JARDIN CARRERA 6,MEDELLIN PARA ANTIOQUIA,76789102,2023/03/22,CANCELADA,2023/03/22,2023,,,,,,
TIENDA ARA 1171 FLORENCIA ALTOS DE LA PRADERA,FLORENCIA PARA EL CAQUETA,127176,2022/11/17,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1173 GARZON RESERVAS DE ORIENTE,HUILA,380691,2022/11/17,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1196 FLORENCIA CUNDUY,FLORENCIA PARA EL CAQUETA,127177,2022/11/17,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1205 BELLO ZAMORA,MEDELLIN PARA ANTIOQUIA,76080902,2022/11/23,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1207 ZARAGOZA TRONCAL,MAGDALENA MEDIO,78831,2022/12/09,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1209 CANDELARIA CENTRO,PALMIRA,143700,2022/11/23,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1220 MARINILLA LA AMISTAD,ORIENTE ANTIOQUENO,149824,2022/11/24,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1231 FLORENCIA LA ESTRELLA,FLORENCIA PARA EL CAQUETA,127178,2022/11/17,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1237 MEDELLIN MORAVIA,MEDELLIN PARA ANTIOQUIA,76081202,2022/11/23,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1242 MADRID SOCIEGO,BOGOTA,3617462,2022/12/27,ACTIVA,2025/03/31,2025,,,,,,
TIENDA ARA 1247 ALBANIA EL SILENCIO GUAJIRA,LA GUAJIRA,177284,2023/04/20,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1253 VENECIA CALLE BOLIVAR,MEDELLIN PARA ANTIOQUIA,76807502,2023/03/24,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1254 ENVIGADO EL ESMERALDAL,ABURRA SUR,260810,2023/03/29,ACTIVA,2025/03/19,2025,6.1742029,-75.5745352,"Cra. 28 #27 Sur-68, Bosques de Esmeraldal, Envigado, Antioquia, Colombia",6.1742029,-75.5745352,"Cra. 28 #27 Sur-68, Bosques de Esmeraldal, Envigado, Antioquia, Colombia"
TIENDA ARA 1265 PUERTO BOYACA SANTA BARBARA,LA DORADA,65735,2023/02/27,ACTIVA,2025/03/20,2025,5.9746146,-74.5816571,"Ak. 5 #2228, Puerto Boyacá, Boyacá, Colombia",5.9746146,-74.5816571,"Ak. 5 #2228, Puerto Boyacá, Boyacá, Colombia"
TIENDA ARA 1266 TOLIMA IBAGUE ENTRE RIOS,IBAGUE,356696,2023/03/23,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1284 MEDELLIN MANRIQUE,MEDELLIN PARA ANTIOQUIA,76799302,2023/03/23,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1290 SAN JERONIMO,MEDELLIN PARA ANTIOQUIA,77582602,2023/07/11,ACTIVA,2025/03/19,2025,,,,,,
TIENDA ARA 1307 ASTREA CENTRO CESAR,VALLEDUPAR,201053,2023/05/18,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 1347 MEDELLIN COMUNA 5 CASTILLA,MEDELLIN PARA ANTIOQUIA,78368902,2023/11/10,ACTIVA,2025/03/19,2025,,,,,,
