Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
SUPERMERCADO JUSTO Y BUENO NOCAIMA,FACATATIVA,147014,2020/11/19,ACTIVA,2021/03/09,2021,3.622748,-75.09576229999999,"Cra. 3 #4-76, Natagaima, Tolima, Colombia"
SUPERMERCADO JUSTO Y BUENO NORMANDIA ORIENTAL,BOGOTA,3315445,2020/12/02,ACTIVA,2021/03/19,2021,4.6674329,-74.1103468,"Av. Boyacá #48A-18, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO NUEVA CASTILLA,BOGOTA,3196054,2019/12/05,ACTIVA,2021/03/19,2021,4.7385507,-74.0649174,"Cra. 59 # 152 - 49 local 202, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO NUEVO MUZU,BOGOTA,3315440,2020/12/02,ACTIVA,2021/03/19,2021,4.5816385,-74.1340626,"Dg. 51a Sur # 27 - 59, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO OLARTE VILLA DEL RIO,BOGOTA,3279906,2020/09/04,ACTIVA,2021/03/19,2021,4.7385507,-74.0649174,"Cra. 59 # 152 - 49 local 202, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO OPORAPA HUILA,HUILA,338820,2020/03/12,ACTIVA,2021/03/26,2021,2.8262875,-75.3280905,"CASA LOTE 131 A, Palermo, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO OSPINA PEREZ,CUCUTA,368642,2020/03/04,ACTIVA,2021/03/31,2021,7.9284454,-72.5191012,"Cl. 26 #560, Barrio Buenos Aires, Cúcuta, Norte de Santander, Colombia"
SUPERMERCADO JUSTO Y BUENO PAEZ LA PLATA,HUILA,326591,2019/04/24,ACTIVA,2021/03/23,2021,2.3922864,-75.89179899999999,"Cra. 6 #7A-30/34, La Plata, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO PAICOL HUILA,HUILA,334778,2019/12/09,ACTIVA,2021/03/26,2021,2.449178,-75.77436,"Cra. 6 # 5 - 39, Paicol, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO PAIPA LAS QUINTAS,DUITAMA,94975,2019/05/27,CANCELADA,2020/03/11,2020,5.775975,-73.11749139999999,"Cl 25 #15-80, Paipa, Boyacá, Colombia"
