ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,mujer,edad,nivel_educativo,formal,informal
201,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,39.833332,6.75,0.0,12.0
191,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,39.0,9.5,0.0,2.0
190,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6,39.0,6.8,0.0,5.0
302,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.35,42.3,6.1,0.0,19.0
192,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,41.333332,4.0,0.0,3.0
189,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
120,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.30769232,41.615383,5.923077,1.0,11.0
187,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.42857143,39.142857,6.0,0.0,7.0
188,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6666667,31.333334,7.6666665,0.0,3.0
37,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.16666667,46.0,5.25,0.0,11.0
38,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
36,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6,42.0,6.866667,0.0,15.0
35,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,55.0,9.0,0.0,1.0
33,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,38.5,5.0,0.0,6.0
34,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50.714287,4.428571,0.0,6.0
840,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
836,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.53333336,41.333332,6.266667,1.0,12.0
97,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,45.0,9.0,0.0,1.0
837,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
99,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,38.0,5.5,0.0,6.0
98,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
31,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
30,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50.0,5.0,0.0,1.0
107,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.22222222,51.0,6.0,0.0,9.0
112,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.14285715,48.142857,4.857143,0.0,7.0
41,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2857143,47.142857,6.6190476,0.0,20.0
104,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,46.5,7.0,1.0,1.0
40,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.53846157,44.46154,5.3846154,0.0,11.0
39,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,55.0,8.0,0.0,0.0
88,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.25,44.083332,8.125,2.0,21.0
69,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.3888889,42.0,8.111111,0.0,15.0
70,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,42.5,9.0,0.0,2.0
71,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.25,49.0,8.25,1.0,7.0
62,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5714286,41.57143,7.285714,0.0,5.0
51,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.42857143,40.285713,6.857143,0.0,7.0
122,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6,43.2,4.6,0.0,5.0
123,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,48.0,3.5,0.0,4.0
185,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2,51.8,6.4,0.0,5.0
186,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,40.0,5.0,0.0,1.0
199,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
121,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,42.0,5.0,0.0,1.0
103,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,34.0,8.0,0.0,2.0
102,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
101,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,43.666668,5.0,1.0,2.0
100,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,36.0,8.75,0.0,4.0
105,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,36.5,6.0,0.0,2.0
