ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo
560.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
563.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
530.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
624.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
625.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
665.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
565.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
566.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
564.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
548.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
550.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
552.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
551.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
786.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
787.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
788.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
781.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
783.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
784.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
780.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
779.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
785.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
765.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
557.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
248.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,2.0
244.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,2.0
264.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
265.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
158.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
250.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
266.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
484.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
479.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
478.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
477.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
485.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
156.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
157.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
243.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
263.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
262.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
261.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
260.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
245.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,3.0
252.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,2.0
253.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,2.0
847.0,2011,1.0,1,0.0,0,0.0,0,0.0,0,2.0
251.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,2.0
482.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
475.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
